x	y	yhat	residual	x2
595	0.644	0.624	2.03	0
605	0.622	0.636	-1.37	1.5625
615	0.638	0.643	-0.47	3.125
625	0.649	0.646	0.29	4.6875
635	0.652	0.647	0.52	6.25
645	0.639	0.646	-0.71	7.8125
655	0.646	0.645	0.08	9.375
665	0.657	0.645	1.17	10.9375
675	0.652	0.647	0.46	12.5
685	0.655	0.652	0.26	14.0625
695	0.664	0.659	0.45	15.625
705	0.663	0.667	-0.44	17.1875
715	0.663	0.675	-1.21	18.75
725	0.668	0.681	-1.33	20.3125
735	0.676	0.685	-0.89	21.875
745	0.676	0.685	-0.87	23.4375
755	0.686	0.679	0.66	25
765	0.679	0.669	1	26.5625
775	0.678	0.658	2.05	28.125
785	0.683	0.65	3.31	29.6875
795	0.694	0.651	4.29	31.25
805	0.699	0.666	3.26	32.8125
815	0.71	0.701	0.93	34.375
825	0.73	0.759	-2.9	35.9375
835	0.763	0.846	-8.34	37.5
845	0.812	0.965	-15.28	39.0625
855	0.907	1.103	-19.64	40.625
865	1.044	1.248	-20.44	42.1875
875	1.336	1.386	-5	43.75
885	1.881	1.502	37.89	45.3125
895	2.169	1.583	58.6	46.875
905	2.075	1.615	46.03	48.4375
915	1.598	1.583	1.46	50
925	1.211	1.481	-27.01	51.5625
935	0.916	1.323	-40.67	53.125
945	0.746	1.129	-38.33	54.6875
955	0.672	0.922	-24.98	56.25
965	0.627	0.721	-9.41	57.8125
975	0.615	0.548	6.7	59.375
985	0.607	0.424	18.34	60.9375
995	0.606	0.369	23.73	62.5
1005	0.609	0.395	21.37	64.0625
1015	0.603	0.48	12.33	65.625
1025	0.601	0.589	1.17	67.1875
1035	0.603	0.691	-8.84	68.75
1045	0.601	0.753	-15.24	70.3125
1055	0.611	0.743	-13.16	71.875
1065	0.601	0.626	-2.54	73.4375
1075	0.608	0.372	23.58	75
